,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed
43895,FFSU,XX,591,3777,19,20134,ATORVASTAT,27616,859,14308.5,13875.29,433.21
171233,MCOU,XX,591,3777,5,20134,ATORVASTAT,13150,442,14822.93,14808.93,14
171237,MCOU,XX,591,3777,19,20134,ATORVASTAT,86962.882,2892,90759.32,90360.91,398.41
101360,FFSU,XX,60505,2578,8,20134,ATORVASTAT,148362,4690,60315.54,57966.83,2348.71
101364,FFSU,XX,60505,2578,9,20134,ATORVASTAT,625781,19002,268021.85,256199.9,11821.95
228211,MCOU,XX,60505,2578,8,20134,ATORVASTAT,164704,5508,96075.44,95500.78,574.66
228215,MCOU,XX,60505,2578,9,20134,ATORVASTAT,882274.503,29079,543508.17,539572.57,3935.6
101360,FFSU,XX,60505,2578,8,20134,ATORVASTAT,148362,4690,60315.54,57966.83,2348.71
101364,FFSU,XX,60505,2578,9,20134,ATORVASTAT,625781,19002,268021.85,256199.9,11821.95
228211,MCOU,XX,60505,2578,8,20134,ATORVASTAT,164704,5508,96075.44,95500.78,574.66
228215,MCOU,XX,60505,2578,9,20134,ATORVASTAT,882274.503,29079,543508.17,539572.57,3935.6
101360,FFSU,XX,60505,2578,8,20134,ATORVASTAT,148362,4690,60315.54,57966.83,2348.71
101364,FFSU,XX,60505,2578,9,20134,ATORVASTAT,625781,19002,268021.85,256199.9,11821.95
228211,MCOU,XX,60505,2578,8,20134,ATORVASTAT,164704,5508,96075.44,95500.78,574.66
228215,MCOU,XX,60505,2578,9,20134,ATORVASTAT,882274.503,29079,543508.17,539572.57,3935.6
101360,FFSU,XX,60505,2578,8,20134,ATORVASTAT,148362,4690,60315.54,57966.83,2348.71
101364,FFSU,XX,60505,2578,9,20134,ATORVASTAT,625781,19002,268021.85,256199.9,11821.95
228211,MCOU,XX,60505,2578,8,20134,ATORVASTAT,164704,5508,96075.44,95500.78,574.66
228215,MCOU,XX,60505,2578,9,20134,ATORVASTAT,882274.503,29079,543508.17,539572.57,3935.6
101360,FFSU,XX,60505,2578,8,20134,ATORVASTAT,148362,4690,60315.54,57966.83,2348.71
101364,FFSU,XX,60505,2578,9,20134,ATORVASTAT,625781,19002,268021.85,256199.9,11821.95
228211,MCOU,XX,60505,2578,8,20134,ATORVASTAT,164704,5508,96075.44,95500.78,574.66
228215,MCOU,XX,60505,2578,9,20134,ATORVASTAT,882274.503,29079,543508.17,539572.57,3935.6
101360,FFSU,XX,60505,2578,8,20134,ATORVASTAT,148362,4690,60315.54,57966.83,2348.71
101364,FFSU,XX,60505,2578,9,20134,ATORVASTAT,625781,19002,268021.85,256199.9,11821.95
228211,MCOU,XX,60505,2578,8,20134,ATORVASTAT,164704,5508,96075.44,95500.78,574.66
228215,MCOU,XX,60505,2578,9,20134,ATORVASTAT,882274.503,29079,543508.17,539572.57,3935.6
101368,FFSU,XX,60505,2579,8,20134,ATORVASTAT,248246.001,7440,130350.71,124784.32,5566.39
101372,FFSU,XX,60505,2579,9,20134,ATORVASTAT,897958,27239,474053.66,455540.29,18513.37
