,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed
215643,MCOU,XX,55111.0,124.0,90.0,20124.0,ATORVASTAT,99925.0,3232.0,145408.99,144758.71,650.28
85187,FFSU,XX,51079.0,409.0,01,20124.0,ATORVASTAT,60.0,2.0,22.84,22.84,0.0
85188,FFSU,XX,51079.0,409.0,20,20123.0,ATORVASTAT,30.0,1.0,7.66,7.66,0.0
85189,FFSU,XX,51079.0,409.0,20,20124.0,ATORVASTAT,333.0,12.0,129.14,125.14,4.0
208200,MCOU,XX,51079.0,409.0,20.0,20123.0,ATORVASTAT,30.0,1.0,10.23,10.23,0.0
208201,MCOU,XX,51079.0,409.0,20.0,20124.0,ATORVASTAT,300.0,10.0,86.04,86.04,0.0
85190,FFSU,XX,51079.0,410.0,01,20124.0,ATORVASTAT,95.0,4.0,64.22,64.22,0.0
85191,FFSU,XX,51079.0,410.0,20,20124.0,ATORVASTAT,402.0,16.0,215.96,208.35,7.61
208202,MCOU,XX,51079.0,410.0,20.0,20123.0,ATORVASTAT,30.0,1.0,14.6,14.6,0.0
208203,MCOU,XX,51079.0,410.0,20.0,20124.0,ATORVASTAT,540.0,15.0,196.26,192.61,3.65
85192,FFSU,XX,51079.0,411.0,01,20124.0,ATORVASTAT,26.0,1.0,17.58,17.58,0.0
85193,FFSU,XX,51079.0,411.0,20,20123.0,ATORVASTAT,30.0,1.0,15.6,12.6,3.0
85194,FFSU,XX,51079.0,411.0,20,20124.0,ATORVASTAT,599.0,21.0,305.89,301.89,4.0
208204,MCOU,XX,51079.0,411.0,20.0,20123.0,ATORVASTAT,180.0,6.0,74.29,74.29,0.0
208205,MCOU,XX,51079.0,411.0,20.0,20124.0,ATORVASTAT,480.0,13.0,200.51,199.51,1.0
85195,FFSU,XX,51079.0,412.0,03,20124.0,ATORVASTAT,151.0,6.0,107.44,99.24,8.2
208206,MCOU,XX,51079.0,412.0,3.0,20124.0,ATORVASTAT,105.0,4.0,48.81,47.81,1.0
57960,FFSU,XX,904.0,6290.0,61,20123.0,ATORVASTAT,292.5,11.0,195.54,194.54,1.0
57961,FFSU,XX,904.0,6290.0,61,20124.0,ATORVASTAT,369.0,14.0,278.79,276.79,2.0
182948,MCOU,XX,904.0,6290.0,61,20123.0,ATORVASTAT,210.0,7.0,227.82,222.82,5.0
182949,MCOU,XX,904.0,6290.0,61,20124.0,ATORVASTAT,365.0,14.0,342.87,342.87,0.0
57962,FFSU,XX,904.0,6291.0,61,20122.0,ATORVASTAT,30.0,1.0,15.69,15.69,0.0
57963,FFSU,XX,904.0,6291.0,61,20123.0,ATORVASTAT,663.0,25.0,456.58,451.58,5.0
